docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0016236113008041-3127	1	Quantity	938	944	1	600 °C	{ "unit": "°C"}
S0016236113008041-3127	1	MeasuredEntity	922	934	2	temperatures	{"HasQuantity":"1"}
S0016236113008041-3127	2	Quantity	952	958	3	750 °C	{ "unit": "°C"}
S0016236113008041-3127	2	MeasuredEntity	922	934	4	temperatures	{"HasQuantity":"3"}
S0016236113008041-3127	3	Quantity	979	986	5	1000 °C	{ "unit": "°C"}
S0016236113008041-3127	3	MeasuredEntity	922	934	6	temperatures	{"HasQuantity":"5"}
S0016236113008041-3127	4	Quantity	1016	1021	7	20 °C	{ "unit": "°C"}
S0016236113008041-3127	4	MeasuredEntity	1007	1012	8	steps	{"HasQuantity":"7"}
S0016236113008041-3127	5	Quantity	1030	1050	9	atmospheric pressure	
S0016236113008041-3127	5	MeasuredEntity	1042	1050	10	pressure	{"HasQuantity":"9"}
